a52dec 0.7.4-8
sound-theme-freedesktop 0.8-2
soundtouch 1.9.0-3
source-highlight 3.1.8-6
spandsp 0.0.6-1
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
spotify 1.0.27.73-1
sqlite 3.12.2-1
startup-notification 0.12-4
steam 1.0.0.51-1
sudo 1.8.16-1
sysfsutils 2.1.0-9
systemd 229-3
systemd-sysvcompat 229-3
t1lib 5.1.2-5
taglib 1.10-3
tar 1.28-1
tcl 8.6.4-1
tdb 1.3.8-1
texinfo 6.1-1
thin-provisioning-tools 0.6.1-2
thunar 1.6.10-2
thunderbird 45.0-1
transmission-gtk 2.92-1
tslib 1.1-1
ttf-dejavu 2.35-1
ttf-hack 2.019-2
ttf-unifont 8.0.01-1
tzdata 2016d-1
udisks2 2.1.7-1
ultra-flat-icons 1.3.4-5
unzip 6.0-12
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.28-1
v4l-utils 1.10.0-1
vala 0.32.0-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vlc 2.2.2-4
vte 0.28.2-7
vte-common 0.44.1-1
wayland 1.10.0-1
wayland-protocols 1.3-1
webkit2gtk 2.12.1-1
webrtc-audio-processing 0.1-3
which 2.21-1
wicd 1.7.4-1
wicd-gtk 1.7.4-1
wildmidi 0.3.8-1
wireless_tools 30.pre9-1
wmctrl 1.07-4
wpa_supplicant 1:2.5-3
wv 1.2.9-3
x265 1.9-1
xbindkeys 1.8.6-1
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.2-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-utils 1.1.1-2
xextproto 7.3.0-1
xf86-input-evdev 2.10.1-3
xf86-input-synaptics 1.8.3-2
xf86-video-intel 1:2.99.917+636+g562ae1f-1
xf86vidmodeproto 2.3.1-3
xfce4-terminal 0.6.3-2
xfconf 4.12.0-2
xfsprogs 4.3.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.17-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.3-1
xorg-server-common 1.18.3-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.28-1
xvidcore 1.3.4-1
xz 5.2.2-1
yajl 2.1.0-1
yaourt 1.8.1-1
yelp-tools 3.18.0-1
yelp-xsl 3.20.1-1
zeal 1:0.2.1-2
zenity 3.20.0-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zvbi 0.2.35-1
